,awardYear,prizeAmount,prizeAmountAdjusted,category.en,category.no,category.se,categoryFullName.en,categoryFullName.no,categoryFullName.se,links.rel,links.href,links.action,links.types,dateAwarded,topMotivation.en,topMotivation.se,0,id,knownName,links,motivation,orgName,portion,sortOrder
11,1903,141358,7795478,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/lit/1903,Get,application/json,,,,,572,{'en': 'Bjørnstjerne Bjørnson'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/572', 'action': 'Get', 'types': 'application/json'}","{'en': 'as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit', 'se': 'såsom en gärd av erkännande åt hans ädla, storartade och mångsidiga skaldeverksamhet, som alltid varit utmärkt på en gång av ingivelsens friskhet och av en sällsynt själsrenhet'}",,1,1
12,1903,141358,7795478,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/pea/1903,Get,application/json,1903-12-10,,,,466,{'en': 'Randal Cremer'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/466', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his longstanding and devoted effort in favour of the ideas of peace and arbitration', 'no': 'for sin lange og oppofrende innsats for å fremme ideen om fred og voldgift'}",,1,1
13,1903,141358,7795478,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/phy/1903,Get,application/json,,,,,4,{'en': 'Henri Becquerel'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/4', 'action': 'Get', 'types': 'application/json'}","{'en': 'in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity', 'se': 'såsom ett erkännande av den utomordentliga förtjänst han inlagt genom upptäckten av den spontana radioaktiviteten'}",,1/2,1
14,1903,141358,7795478,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/med/1903,Get,application/json,,,,,295,{'en': 'Niels Ryberg Finsen'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/295', 'action': 'Get', 'types': 'application/json'}","{'en': 'in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science', 'se': 'såsom ett erkännande åt hans arbete för behandling av sjukdomar och särskilt lupus vulgaris med koncentrerade ljusstrålar, varigenom han öppnat en ny väg för läkekonsten'}",,1,1
15,1904,140859,7767960,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/che/1904,Get,application/json,,,,,163,{'en': 'Sir William Ramsay'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/163', 'action': 'Get', 'types': 'application/json'}","{'en': 'in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system', 'se': 'såsom ett erkännande av den förtjänst han inlagt genom upptäckten av de indifferenta gasformiga grundämnenena i luften och bestämmandet av deras plats i det periodiska systemet'}",,1,1
16,1904,140859,7767960,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/lit/1904,Get,application/json,,,,,573,{'en': 'Frédéric Mistral'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/573', 'action': 'Get', 'types': 'application/json'}","{'en': 'in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist', 'se': 'med avseende fäst å det ursprungsfriska, snillrika och sant konstnärliga i hans diktning, som troget avspeglar hans hembygds natur och folkliv, samt å hans betydelsefulla verksamhet som provençalsk filolog'}",,1/2,1
17,1904,140859,7767960,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/pea/1904,Get,application/json,1904-12-10,,,,467,,"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/467', 'action': 'Get', 'types': 'application/json'}","{'en': 'for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane', 'no': 'for arbeidet med å skape fredelige forbindelser mellom nasjoner og gjøre krigens lover mer humane gjennom folkeretten'}","{'en': 'Institute of International Law', 'no': 'Folkerettsinstituttet'}",1,1
18,1904,140859,7767960,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/phy/1904,Get,application/json,,,,,8,{'en': 'Lord Rayleigh'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/8', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies', 'se': 'för hans undersökningar rörande de viktigaste gasernas täthet samt hans i sammanhang med dessa undersökningar gjorda upptäckt av argon'}",,1,1
19,1904,140859,7767960,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/med/1904,Get,application/json,,,,,296,{'en': 'Ivan Pavlov'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/296', 'action': 'Get', 'types': 'application/json'}","{'en': 'in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged', 'se': 'såsom ett erkännande av hans arbete rörande digestionens fysiologi, varigenom han i väsentliga delar omdanat och vidgat kunskapen på detta område'}",,1,1
20,1905,138089,7615202,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/che/1905,Get,application/json,,,,,164,{'en': 'Adolf von Baeyer'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/164', 'action': 'Get', 'types': 'application/json'}","{'en': 'in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds', 'se': 'såsom ett erkännande av den förtjänst han inlagt om den organiska kemiens och den kemiska industriens utveckling genom sina arbeten rörande organiska färgämnen och hydroaromatiska föreningar'}",,1,1
21,1905,138089,7615202,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/lit/1905,Get,application/json,,,,,575,{'en': 'Henryk Sienkiewicz'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/575', 'action': 'Get', 'types': 'application/json'}","{'en': 'because of his outstanding merits as an epic writer', 'se': 'på grund av hans storartade förtjänster som episk författare'}",,1,1
22,1905,138089,7615202,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/pea/1905,Get,application/json,1905-12-10,,,,468,{'en': 'Bertha von Suttner'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/468', 'action': 'Get', 'types': 'application/json'}","{'en': 'for her audacity to oppose the horrors of war', 'no': 'for sin modige kamp mot krigens grusomheter'}",,1,1
23,1905,138089,7615202,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/phy/1905,Get,application/json,,,,,9,{'en': 'Philipp Lenard'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/9', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his work on cathode rays', 'se': 'för hans arbeten över katodstrålarna'}",,1,1
