year_awarded,nobel_prize,recipient,gender,prize_amount,birth_place
1920,The Nobel Prize in Physics,Charles Edouard Guillaume,male,134100,Switzerland
1920,The Nobel Prize in Physiology or Medicine,August Krogh,male,134100,Denmark
1921,The Nobel Prize in Chemistry,Frederick Soddy,male,121573,United Kingdom
1921,The Nobel Prize in  Literature,Anatole France,male,121573,France
1921,The Nobel Peace Prize,Hjalmar Branting,male,121573,Sweden
1921,The Nobel Prize in Physics,Albert Einstein,male,121573,Germany
1922,The Nobel Prize in Chemistry,Francis W. Aston,male,122483,United Kingdom
1922,The Nobel Prize in  Literature,Jacinto Benavente,male,122483,Spain
1922,The Nobel Peace Prize,Fridtjof Nansen,male,122483,Norway
1922,The Nobel Prize in Physics,Niels Bohr,male,122483,Denmark
1922,The Nobel Prize in Physiology or Medicine,Archibald V. Hill,male,122483,United Kingdom
1923,The Nobel Prize in Chemistry,Fritz Pregl,male,114935,Austria-Hungary
1923,The Nobel Prize in  Literature,William Butler Yeats,male,114935,Ireland
1923,The Nobel Prize in Physics,Robert A. Millikan,male,114935,USA
1923,The Nobel Prize in Physiology or Medicine,Frederick G. Banting,male,114935,Canada
1924,The Nobel Prize in  Literature,Wladyslaw Reymont,male,116719,Russian Empire
1924,The Nobel Prize in Physics,Manne Siegbahn,male,116719,Sweden
1924,The Nobel Prize in Physiology or Medicine,Willem Einthoven,male,116719,"Java, Dutch East Indies"
1925,The Nobel Prize in Chemistry,Richard Zsigmondy,male,118165,Austrian Empire
1925,The Nobel Prize in  Literature,George Bernard Shaw,male,118165,Ireland
1925,The Nobel Peace Prize,Sir Austen Chamberlain,male,118165,United Kingdom
1925,The Nobel Prize in Physics,James Franck,male,118165,Germany
1926,The Nobel Prize in Chemistry,The Svedberg,male,116960,Sweden
1926,The Nobel Prize in  Literature,Grazia Deledda,female,116960,Italy
1926,The Nobel Peace Prize,Aristide Briand,male,116960,France
1926,The Nobel Prize in Physics,Jean Baptiste Perrin,male,116960,France
1926,The Nobel Prize in Physiology or Medicine,Johannes Fibiger,male,116960,Denmark
1927,The Nobel Prize in Chemistry,Heinrich Wieland,male,126501,Germany
1927,The Nobel Prize in  Literature,Henri Bergson,male,126501,France
1927,The Nobel Peace Prize,Ferdinand Buisson,male,126501,France
1927,The Nobel Prize in Physics,Arthur H. Compton,male,126501,USA
1927,The Nobel Prize in Physiology or Medicine,Julius Wagner-Jauregg,male,126501,Austria
1928,The Nobel Prize in Chemistry,Adolf Windaus,male,156939,Germany
1928,The Nobel Prize in  Literature,Sigrid Undset,female,156939,Denmark
1928,The Nobel Prize in Physics,Owen Willans Richardson,male,156939,United Kingdom
1928,The Nobel Prize in Physiology or Medicine,Charles Nicolle,male,156939,France
1929,The Nobel Prize in Chemistry,Arthur Harden,male,172760,United Kingdom
1929,The Nobel Prize in  Literature,Thomas Mann,male,172760,Germany
1929,The Nobel Peace Prize,Frank B. Kellogg,male,172760,USA
1929,The Nobel Prize in Physics,Louis de Broglie,male,172760,France
