,id,knownName.en,orgName.en,gender,birth.date,birth.place.country.en
605,688,Milton Friedman,,male,1912-07-31,USA
606,880,Mo Yan,,male,1955-02-02,China
607,798,Mohamed ElBaradei,,male,1942-06-17,Egypt
608,540,Mother Teresa ,,female,1910-08-26,Ottoman Empire
609,809,Muhammad Yunus,,male,1940-06-28,British India
610,90,Murray Gell-Mann,,male,1929-09-15,USA
611,718,Myron Scholes,,male,1941-07-01,Canada
612,967,Nadia Murad,,female,1993-00-00,Iraq
613,668,Nadine Gordimer,,female,1923-11-20,South Africa
614,665,Naguib Mahfouz,,male,1911-12-11,Egypt
615,503,Nansen International Office for Refugees,Nansen International Office for Refugees,,,
616,495,Nathan Söderblom,,male,1866-01-15,Sweden
617,925,National Dialogue Quartet ,National Dialogue Quartet ,,,
618,640,Nelly Sachs,,female,1891-12-10,Germany
619,555,Nelson Mandela,,male,1918-07-18,South Africa
620,497,Nicholas Murray Butler,,male,1862-04-02,USA
621,118,Nicolaas Bloembergen,,male,1920-03-11,the Netherlands
622,82,Nicolay G. Basov,,male,1922-12-14,USSR
623,27,Niels Bohr,,male,1885-10-07,Denmark
624,429,Niels K. Jerne,,male,1911-12-23,United Kingdom
625,295,Niels Ryberg Finsen,,male,1860-12-15,Faroe Islands (Denmark)
626,402,Nikolaas Tinbergen,,male,1907-04-15,the Netherlands
627,220,Nikolay Semenov,,male,1896-04-03,Russia
628,528,Norman Borlaug,,male,1914-03-25,USA
629,135,Norman F. Ramsey,,male,1915-08-27,USA
630,196,Norman Haworth,,male,1883-03-19,United Kingdom
631,667,Octavio Paz,,male,1914-03-31,Mexico
632,238,Odd Hassel,,male,1897-05-17,Norway
633,655,Odysseus Elytis,,male,1911-11-02,Crete
634,515,Office of the United Nations High Commissioner for Refugees,Office of the United Nations High Commissioner for Refugees,,,
635,979,Olga Tokarczuk,,female,1962-01-29,Poland
636,847,Oliver E. Williamson,,male,1932-09-27,USA
637,935,Oliver Hart,,male,1948-10-09,United Kingdom
638,813,Oliver Smithies,,male,1925-06-23,United Kingdom
639,893,Organisation for the Prohibition of Chemical Weapons,Organisation for the Prohibition of Chemical Weapons,,,
640,808,Orhan Pamuk,,male,1952-06-07,Turkey
641,829,Osamu Shimomura,,male,1928-08-27,Japan
642,549,Oscar Arias Sánchez,,male,1940-09-13,Costa Rica
643,210,Otto Diels,,male,1876-01-23,Germany
644,202,Otto Hahn,,male,1879-03-08,Germany
645,331,Otto Loewi,,male,1873-06-03,Germany
646,312,Otto Meyerhof,,male,1884-04-12,Germany
647,48,Otto Stern,,male,1888-02-17,Germany
648,169,Otto Wallach,,male,1847-03-27,Germany
649,322,Otto Warburg,,male,1883-10-08,Germany
650,73,Owen Chamberlain,,male,1920-07-10,USA
651,35,Owen Willans Richardson,,male,1879-04-26,United Kingdom
652,645,Pablo Neruda,,male,1904-07-12,Chile
653,622,Pär Lagerkvist,,male,1891-05-23,Sweden
654,53,Patrick M.S. Blackett,,male,1897-11-18,United Kingdom
655,912,Patrick Modiano,,male,1945-07-30,France
656,648,Patrick White,,male,1912-05-28,United Kingdom
657,679,Paul A. Samuelson,,male,1915-05-15,USA
658,40,Paul A.M. Dirac,,male,1902-08-08,United Kingdom
659,254,Paul Berg,,male,1926-06-30,USA
660,764,Paul C. Lauterbur,,male,1929-05-06,USA
661,287,Paul D. Boyer,,male,1918-07-31,USA
662,302,Paul Ehrlich,,male,1854-03-14,Prussia
663,723,Paul Greengard,,male,1925-12-11,USA
664,476,Paul Henri d'Estournelles de Constant,,male,1852-11-22,France
665,580,Paul Heyse,,male,1830-03-15,Prussia
666,281,Paul J. Crutzen,,male,1933-12-03,the Netherlands
667,246,Paul J. Flory,,male,1910-06-19,USA
668,197,Paul Karrer,,male,1889-04-21,Russia
669,834,Paul Krugman,,male,1953-02-28,USA
670,969,Paul M. Romer,,male,1955-00-00,USA
671,922,Paul Modrich,,male,1946-06-13,USA
672,346,Paul Müller,,male,1899-01-12,Switzerland
673,173,Paul Sabatier,,male,1854-11-05,France
674,70,Pavel A. Cherenkov,,male,1904-07-28,Russia
675,610,Pearl Buck,,female,1892-06-26,USA
676,51,Percy W. Bridgman,,male,1882-04-21,USA
677,477,Permanent International Peace Bureau,Permanent International Peace Bureau,,,
678,856,Peter A. Diamond,,male,1940-04-29,USA
679,769,Peter Agre,,male,1949-01-30,USA
680,455,Peter C. Doherty,,male,1940-10-15,Australia
681,195,Peter Debye,,male,1884-03-24,the Netherlands
682,815,Peter Grünberg,,male,1939-05-18,Czechoslovakia
683,980,Peter Handke,,male,1942-12-06,Austria
684,888,Peter Higgs,,male,1929-05-29,United Kingdom
685,370,Peter Medawar,,male,1915-02-28,Brazil
686,251,Peter Mitchell,,male,1920-09-29,United Kingdom
687,383,Peyton Rous,,male,1879-10-05,USA
688,518,Philip Noel-Baker,,male,1889-11-01,United Kingdom
689,351,Philip S. Hench,,male,1896-02-28,USA
690,107,Philip W. Anderson,,male,1923-12-13,USA
691,9,Philipp Lenard,,male,1862-06-07,Hungary
692,449,Phillip A. Sharp,,male,1944-06-06,USA
693,5,Pierre Curie,,male,1859-05-15,France
694,141,Pierre-Gilles de Gennes,,male,1932-10-24,France
695,3,Pieter Zeeman,,male,1865-05-25,the Netherlands
696,64,Polykarp Kusch,,male,1911-01-26,Germany
697,561,Pugwash Conferences on Science and World Affairs,Pugwash Conferences on Science and World Affairs,,,
698,110,Pyotr Kapitsa,,male,1894-07-09,Russian Empire
699,583,Rabindranath Tagore,,male,1861-05-07,India
700,677,Ragnar Frisch,,male,1895-03-03,Norway
701,385,Ragnar Granit,,male,1900-10-30,Russian Empire
702,941,Rainer Weiss,,male,1932-09-29,Germany
703,511,Ralph Bunche,,male,1904-08-07,USA
704,863,Ralph M. Steinman,,male,1943-01-14,Canada
705,466,Randal Cremer,,male,1828-03-18,United Kingdom
706,885,Randy W. Schekman,,male,1948-12-30,USA
707,753,Raymond Davis Jr.,,male,1914-10-14,USA
708,713,Reinhard Selten,,male,1930-10-05,Germany
709,407,Renato Dulbecco,,male,1914-02-22,Italy
710,526,René Cassin,,male,1887-10-05,France
711,755,Riccardo Giacconi,,male,1931-10-06,Italy
712,774,Richard Axel,,male,1946-07-02,USA
713,286,Richard E. Smalley,,male,1943-06-06,USA
714,140,Richard E. Taylor,,male,1929-11-02,Canada
715,851,Richard F. Heck,,male,1931-08-15,USA
716,949,Richard H. Thaler,,male,1945-09-12,USA
717,946,Richard Henderson,,male,1945-07-19,Scotland
718,448,Richard J. Roberts,,male,1943-09-06,United Kingdom
719,198,Richard Kuhn,,male,1900-12-03,Austria-Hungary
720,215,Richard L.M. Synge,,male,1914-10-28,United Kingdom
721,86,Richard P. Feynman,,male,1918-05-11,USA
722,276,Richard R. Ernst,,male,1933-08-14,Switzerland
723,796,Richard R. Schrock,,male,1945-01-04,USA
724,698,Richard Stone,,male,1913-08-30,United Kingdom
725,176,Richard Willstätter,,male,1872-08-13,Germany
726,182,Richard Zsigmondy,,male,1865-04-01,Austrian Empire
727,554,Rigoberta Menchú Tum,,female,1959-01-09,Guatemala
728,435,Rita Levi-Montalcini,,female,1909-04-22,Italy
729,258,Roald Hoffmann,,male,1937-07-18,Poland
730,28,Robert A. Millikan,,male,1868-03-22,USA
731,155,Robert B. Laughlin,,male,1950-11-01,USA
732,231,Robert B. Woodward,,male,1917-04-10,USA
733,308,Robert Bárány,,male,1876-04-22,Austria
734,717,Robert C. Merton,,male,1944-07-31,USA
735,151,Robert C. Richardson,,male,1937-06-26,USA
736,502,"Robert Cecil, Viscount Cecil of Chelwood",,male,1864-09-14,United Kingdom
737,714,Robert E. Lucas Jr.,,male,1937-09-15,USA
738,284,Robert F. Curl Jr.,,male,1933-08-23,USA
739,771,Robert F. Engle III,,male,1942-11-10,USA
740,458,Robert F. Furchgott,,male,1916-06-04,USA
741,848,Robert G. Edwards,,male,1925-09-27,United Kingdom
742,795,Robert H. Grubbs,,male,1942-02-27,USA
743,75,Robert Hofstadter,,male,1915-02-05,USA
744,271,Robert Huber,,male,1937-02-20,Germany
745,799,Robert J. Aumann,,male,1930-06-08,Germany
746,878,Robert J. Lefkowitz,,male,1943-04-15,USA
747,896,Robert J. Shiller,,male,1946-03-29,USA
748,297,Robert Koch,,male,1843-12-11,Germany
749,701,Robert M. Solow,,male,1924-08-23,USA
750,720,Robert Mundell,,male,1932-10-24,Canada
751,232,Robert S. Mulliken,,male,1896-06-07,USA
752,96,Robert Schrieffer,,male,1931-05-31,USA
753,709,Robert W. Fogel,,male,1927-07-01,USA
754,388,Robert W. Holley,,male,1922-01-28,USA
755,112,Robert Woodrow Wilson,,male,1936-01-10,USA
756,770,Roderick MacKinnon,,male,1956-02-19,USA
757,399,Rodney R. Porter,,male,1917-10-08,United Kingdom
758,822,Roger B. Myerson,,male,1951-03-29,USA
759,806,Roger D. Kornberg,,male,1947-04-24,USA
760,411,Roger Guillemin,,male,1924-01-11,France
761,609,Roger Martin du Gard,,male,1881-03-23,France
762,422,Roger W. Sperry,,male,1913-08-20,USA
763,831,Roger Y. Tsien,,male,1952-02-01,USA
764,456,Rolf M. Zinkernagel,,male,1944-01-06,Switzerland
765,584,Romain Rolland,,male,1866-01-29,France
766,234,Ronald G.W. Norrish,,male,1897-11-09,United Kingdom
767,707,Ronald H. Coase,,male,1910-12-29,United Kingdom
768,294,Ronald Ross,,male,1857-05-13,India
769,413,Rosalyn Yalow,,female,1921-07-19,USA
770,791,Roy J. Glauber,,male,1925-09-01,USA
771,578,Rudolf Eucken,,male,1846-01-05,East Friesland
772,76,Rudolf Mössbauer,,male,1929-01-31,Germany
773,277,Rudolph A. Marcus,,male,1923-07-21,Canada
774,577,Rudyard Kipling,,male,1865-12-30,British India
775,143,Russell A. Hulse,,male,1950-11-28,USA
776,742,Ryoji Noyori,,male,1938-09-03,Japan
777,631,Saint-John Perse,,male,1887-05-31,Guadeloupe Island
778,393,Salvador E. Luria,,male,1912-08-13,Italy
779,630,Salvatore Quasimodo,,male,1901-08-20,Italy
780,643,Samuel Beckett,,male,1906-04-13,Ireland
781,106,Samuel C.C. Ting,,male,1936-01-27,USA
782,299,Santiago Ramón y Cajal,,male,1852-05-01,Spain
783,917,Satoshi &#332;mura,,male,1935-07-12,Japan
784,652,Saul Bellow,,male,1915-06-10,Canada
785,864,Saul Perlmutter,,male,1959-00-00,USA
786,672,Seamus Heaney,,male,1939-04-13,Northern Ireland
787,532,Seán MacBride,,male,1904-01-26,France
788,579,Selma Lagerlöf,,female,1858-11-20,Sweden
789,353,Selman A. Waksman,,male,1888-07-22,Russian Empire
790,876,Serge Haroche,,male,1944-09-11,Morocco
791,367,Severo Ochoa,,male,1905-09-24,Spain
792,113,Sheldon Glashow,,male,1932-12-05,USA
793,558,Shimon Peres,,male,1923-08-16,Poland
794,875,Shinya Yamanaka,,male,1962-09-04,Japan
795,773,Shirin Ebadi,,female,1947-06-21,Iran
796,639,Shmuel Agnon,,male,1888-07-17,Austria-Hungary
797,908,Shuji Nakamura,,male,1954-05-22,Japan
798,273,Sidney Altman,,male,1939-05-07,Canada
799,601,Sigrid Undset,,female,1882-05-20,Denmark
800,680,Simon Kuznets,,male,1901-04-30,Russian Empire
801,125,Simon van der Meer,,male,1925-11-24,the Netherlands
802,84,Sin-Itiro Tomonaga,,male,1906-03-31,Japan
803,603,Sinclair Lewis,,male,1885-02-07,USA
804,339,Sir Alexander Fleming,,male,1881-08-06,Scotland
805,693,Sir Arthur Lewis,,male,1915-01-23,British West Indies
806,488,Sir Austen Chamberlain,,male,1863-10-16,United Kingdom
807,394,Sir Bernard Katz,,male,1911-03-26,Germany
808,37,Sir Chandrasekhara Venkata Raman,,male,1888-11-07,India
809,323,Sir Charles Sherrington,,male,1857-11-27,United Kingdom
810,219,Sir Cyril Hinshelwood,,male,1897-05-19,United Kingdom
811,369,Sir Frank Macfarlane Burnet,,male,1899-09-03,Australia
812,320,Sir Frederick Hopkins,,male,1861-06-20,United Kingdom
813,965,Sir Gregory P. Winter,,male,1951-04-14,United Kingdom
814,285,Sir Harold Kroto,,male,1939-10-07,United Kingdom
815,330,Sir Henry Dale,,male,1875-06-09,United Kingdom
816,341,Sir Howard Florey,,male,1898-09-24,Australia
817,932,Sir J. Fraser Stoddart,,male,1942-05-24,United Kingdom
